1: Magyarországról az első térképet Bakócz_Tamás érsek Lázár nevű titkára készítette , valószínűleg az 1510-es években . # #
-első térképet Bakócz_Tamás
fényképhalmok fényképhalom FN.PL.nom
fényképhalmok fényképhalom FN.PL.suff
fényképhalmok fényképhalom FN.PL.suff
-színes ceruzák hevernek
színes színes MN.none
színes színes MN.none
színes színes MN.none
-ceruzák hevernek ,
ceruzák ceruza FN.PL.nom
ceruzák ceruza FN.PL.nom
ceruzák ceruza FN.PL.nom
-egy köcsögben újabb
egy egy SZN.none
egy egy SZN.none
egy egy SZN.none
-újabb tollak és
újabb új MN._FOK.none
újabb új MN._FOK.defnone
újabb új MN._FOK.defnone
-tollak és színes
tollak toll FN.PL.nom
tollak toll FN.PL.suff
tollak toll FN.PL.suff
-színes ceruzák ,
színes színes MN.none
színes színes MN.none
színes színes MN.defnone
-ceruzák , vagy
ceruzák ceruza FN.PL.nom
ceruzák ceruza FN.PL.suff
ceruzák ceruza FN.PL.suff
-száz darab .
száz száz SZN.none
száz száz SZN.none
száz száz SZN.none
-darab . #
darab darab FN.none
darab darab FN.nom
darab darab FN.nom

 
21: - A beszéd már fizikai fájdalommá aljasodott a torkában . # #
-beszéd már fizikai
beszéd beszéd FN.nom
beszéd beszéd FN.suff
beszéd beszéd FN.suff
-fizikai fájdalommá aljasodott
fizikai fizikai MN.none
fizikai fizikai MN.none
fizikai fizikai MN.none

 
22: Elkezdi osztályozni # #

 
23: E kesernyés szóváltásnak az asszony vetett véget . # #
-kesernyés szóváltásnak az
kesernyés kesernyés MN.none
kesernyés kesernyés MN.none
kesernyés kesernyés MN.none
-asszony vetett véget
asszony asszony FN.nom
asszony asszony FN.nom
asszony asszony FN.nom

 
24: - Miért nézel olyan mereven , Ugrifüles ? # #
-olyan mereven ,
olyan olyan MN_NM.none
olyan olyan MN_NM.defnone
olyan olyan MN_NM.defnone
-Ugrifüles ? #
Ugrifüles ugrifüles TULN.vok
Ugrifüles ugrifüles TULN.vok
Ugrifüles ugrifüles TULN.nom

 
25: Néhány hét múltán az utolsó látogatás óta , ismét a legelésző nyáj felé tartott a grófi hintó . # #
-Néhány hét múltán
Néhány néhány SZN.none
Néhány néhány SZN.none
Néhány néhány SZN.none
-hét múltán az
hét hét FN.none
hét hét FN.none
hét hét FN.none
-utolsó látogatás óta
utolsó utolsó MN.none
utolsó utolsó MN.defnone
utolsó utolsó MN.defnone
-látogatás óta ,
látogatás látogatás FN.none
látogatás látogatás FN.none
látogatás látogatás FN.none
-legelésző nyáj felé
legelésző legelész IGE._OKEP.none
legelésző legelész IGE._OKEP.defnone
legelésző legelész IGE._OKEP.defnone
-nyáj felé tartott
nyáj nyáj FN.none
nyáj nyáj FN.none
nyáj nyáj FN.none
-grófi hintó .
grófi grófi MN.none
grófi grófi MN.none
grófi grófi MN.none
-hintó . #
hintó hintó FN.nom
hintó hintó FN.nom
hintó hintó FN.nom

 
26: Az utasítás késik . # #
-utasítás késik .
utasítás utasítás FN.nom
utasítás utasítás FN.nom
utasítás utasítás FN.nom

 
27: a bányászaszályról csak a XIX. század második felében születtek tanulmányok dr. Tóth_Imre tollából . # #
-XIX. század második
XIX. XIX MN.none
XIX. XIX MN.none
XIX. XIX MN.defnone
-század második felében
század század FN.gen
század század FN.gen
század század FN.gen
-második felében születtek
második második MN.none
második második MN.none
második második MN.nom
-tanulmányok dr. Tóth_Imre
tanulmányok tanulmány FN.PL.nom
tanulmányok tanulmány FN.PL.suff
tanulmányok tanulmány FN.PL.suff
-dr. Tóth_Imre tollából
dr. dr. FN.none
dr. dr. FN.none
dr. dr. FN.nom
-Tóth_Imre tollából .
Tóth_Imre Tóth_Imre TULN.gen
Tóth_Imre Tóth_Imre TULN.gen
Tóth_Imre Tóth_Imre TULN.gen

 
28: 1766-1767-ben , veszprémi tanárkodása idején készítette el a Veszprém városának nyájas leírását . # #
-veszprémi tanárkodása idején
veszprémi veszprémi MN.none
veszprémi veszprémi MN.defnone
veszprémi veszprémi MN.defnone
-tanárkodása idején készítette
tanárkodása tanárkodás FN.PSe3.gen
tanárkodása tanárkodás FN.PSe3.gen
tanárkodása tanárkodás FN.PSe3.gen
-Veszprém városának nyájas
Veszprém Veszprém TULN.gen
Veszprém Veszprém TULN.gen
Veszprém Veszprém TULN.gen
-nyájas leírását .
nyájas nyájas MN.none
nyájas nyájas MN.none
nyájas nyájas MN.none

 
29: Mentőautó szirénázik . # #
-Mentőautó szirénázik .
Mentőautó mentőautó FN.nom
Mentőautó mentőautó FN.nom
Mentőautó mentőautó FN.nom

 
30: A Nagy_Szent_Bazil-rendnek két kolostora is működött , az egyik Veszprémben , a másik Dunapentelén . # #
-két kolostora is
két két SZN.none
két két SZN.none
két két SZN.none
-kolostora is működött
kolostora kolostor FN.PSe3.nom
kolostora kolostor FN.PSe3.nom
kolostora kolostor FN.PSe3.nom
-az egyik Veszprémben
az az FN_NM.postag_error
az az FN_NM.postag_error
az az FN_NM.nom
-egyik Veszprémben ,
egyik egyik MN_NM.nom
egyik egyik MN_NM.defnone
egyik egyik MN_NM.defnone
-másik Dunapentelén .
másik másik MN_NM.nom
másik másik MN_NM.none
másik másik MN_NM.none

 
31: A selmeci lipótaknai vízemelő s a bélabányai vízoszlop-zúzó erőgépek az ő tervei alapján épültek " . # #
-selmeci lipótaknai vízemelő
selmeci selmeci MN.none
selmeci selmeci MN.defnone
selmeci selmeci MN.defnone
-vízemelő s a
vízemelő vízemelő MN.none
vízemelő vízemelő MN.none
vízemelő vízemelő MN.none
-vízoszlop-zúzó erőgépek az
vízoszlop-zúzó vízoszlop-zúzó MN.none
vízoszlop-zúzó vízoszlop-zúzó MN.none
vízoszlop-zúzó vízoszlop-zúzó MN.none
-erőgépek az ő
erőgépek erőgép FN.PL.nom
erőgépek erőgép FN.PL.nom
erőgépek erőgép FN.PL.nom
-ő tervei alapján
ő ő FN.gen
ő ő FN.gen
ő ő FN.gen
-tervei alapján épültek
tervei terv FN.PSe3i.none
tervei terv FN.PSe3i.none
tervei terv FN.PSe3i.none

 
32: - Engem csak egyszer csaptak be a zalaszentgróti ökrök . # #
-zalaszentgróti ökrök .
zalaszentgróti zalaszentgróti MN.none
zalaszentgróti zalaszentgróti MN.none
zalaszentgróti zalaszentgróti MN.none
-ökrök . #
ökrök ökör FN.PL.nom
ökrök ökör FN.PL.nom
ökrök ökör FN.PL.nom

 
33: Kezemből kiesik a talicska fogója . # #
-talicska fogója .
talicska talicska FN.gen
talicska talicska FN.gen
talicska talicska FN.gen
-fogója . #
fogója fogó FN.PSe3.nom
fogója fogó FN.PSe3.nom
fogója fogó FN.PSe3.nom

 
34: Még ! - mondja az igazgató bácsi . # #
-igazgató bácsi .
igazgató igazgató FN.xne
igazgató igazgató FN.xne
igazgató igazgató FN.nom
-bácsi . #
bácsi bácsi FN.nom
bácsi bácsi FN.nom
bácsi bácsi FN.nom

 
35: Magam is kipróbáltam a módszert . # #
-Magam is kipróbáltam
Magam maga FN_NM.e1.nom
Magam maga FN_NM.e1.nom
Magam maga FN_NM.e1.nom

 
36: - Nagyon jól , Borzsák úr , csak egyetlen családot kellett etetnem . # #
-Borzsák úr ,
Borzsák borzsák TULN.xne
Borzsák borzsák TULN.xne
Borzsák borzsák TULN.suff
-úr , csak
úr úr FN.vok
úr úr FN.vok
úr úr FN.suff
-egyetlen családot kellett
egyetlen egyetlen SZN.none
egyetlen egyetlen SZN.none
egyetlen egyetlen SZN.none

 
37: Az egyén lélektani torzulásai helyett a huszadik századét kényszerülök átélni . # #
-egyén lélektani torzulásai
egyén egyén FN.gen
egyén egyén FN.gen
egyén egyén FN.gen
-lélektani torzulásai helyett
lélektani lélektani MN.none
lélektani lélektani MN.defnone
lélektani lélektani MN.defnone
-torzulásai helyett a
torzulásai torzulás FN.PSe3i.none
torzulásai torzulás FN.PSe3i.none
torzulásai torzulás FN.PSe3i.none
-huszadik századét kényszerülök
huszadik huszadik MN.none
huszadik huszadik MN.none
huszadik huszadik MN.none

 
38: Ezt szeretném látni , ezt a földig görnyedő meghajlást a cár trónusa előtt . # #
-görnyedő meghajlást a
görnyedő görnyed IGE._OKEP.none
görnyedő görnyed IGE._OKEP.none
görnyedő görnyed IGE._OKEP.none
-cár trónusa előtt
cár cár FN.gen
cár cár FN.gen
cár cár FN.gen
-trónusa előtt .
trónusa trónus FN.PSe3.none
trónusa trónus FN.PSe3.none
trónusa trónus FN.PSe3.none

 
39: így korholja Nyúl_Lexit : # #


40: Lassanként kúszott bennem a melegség felfelé , a lábujjaimtól . # #
-melegség felfelé ,
melegség melegség FN.suff
melegség melegség FN.suff
melegség melegség FN.suff
-a lábujjaimtól .
a a FN_NM.postag_error
a a FN_NM.postag_error
a a FN_NM.gen


41: A kisiskolák tanítóira , főleg az igazgatókra rengeteg írásbeli feladat elvégzése hárult : törzskönyvek , anyakönyvi lapok , előmeneteli és mulasztási naplók vezetése , tanmenetek elkészítése , a központilag meghatározott tanterv heti és havi tananyagbeosztása , órarendek összehangolása , tantestületi értekezletek jegyzőkönyveinek vezetése , a szülői értekezletek jegyzőkönyvei , határidőnapló , postakönyv , leltárak ügyvitele . # #
-kisiskolák tanítóira ,
kisiskolák kisiskola FN.PL.gen
kisiskolák kisiskola FN.PL.gen
kisiskolák kisiskola FN.PL.gen
-rengeteg írásbeli feladat
rengeteg rengeteg MN.none
rengeteg rengeteg MN.defnone
rengeteg rengeteg MN.defnone
-írásbeli feladat elvégzése
írásbeli írásbeli MN.none
írásbeli írásbeli MN.defnone
írásbeli írásbeli MN.defnone
-feladat elvégzése hárult
feladat feladat FN.gen
feladat feladat FN.gen
feladat feladat FN.gen
-elvégzése hárult :
elvégzése elvégzés FN.PSe3.nom
elvégzése elvégzés FN.PSe3.nom
elvégzése elvégzés FN.PSe3.nom
-törzskönyvek , anyakönyvi
törzskönyvek törzskönyv FN.PL.gen
törzskönyvek törzskönyv FN.PL.suff
törzskönyvek törzskönyv FN.PL.suff
-anyakönyvi lapok ,
anyakönyvi anyakönyvi MN.none
anyakönyvi anyakönyvi MN.none
anyakönyvi anyakönyvi MN.defnone
-lapok , előmeneteli
lapok lap FN.PL.gen
lapok lap FN.PL.suff
lapok lap FN.PL.suff
-előmeneteli és mulasztási
előmeneteli előmeneteli MN.none
előmeneteli előmeneteli MN.defnone
előmeneteli előmeneteli MN.defnone
-mulasztási naplók vezetése
mulasztási mulasztási MN.none
mulasztási mulasztási MN.none
mulasztási mulasztási MN.defnone
-naplók vezetése ,
naplók napló FN.PL.gen
naplók napló FN.PL.gen
naplók napló FN.PL.gen
-vezetése , tanmenetek
vezetése vezetés FN.PSe3.nom
vezetése vezetés FN.PSe3.nom
vezetése vezetés FN.PSe3.nom
-tanmenetek elkészítése ,
tanmenetek tanmenet FN.PL.gen
tanmenetek tanmenet FN.PL.gen
tanmenetek tanmenet FN.PL.gen
-elkészítése , a
elkészítése elkészítés FN.PSe3.nom
elkészítése elkészítés FN.PSe3.nom
elkészítése elkészítés FN.PSe3.nom
-meghatározott tanterv heti
meghatározott meghatároz IK.IGE._MIB.none
meghatározott meghatároz IK.IGE._MIB.defnone
meghatározott meghatároz IK.IGE._MIB.defnone
-tanterv heti és
tanterv tanterv FN.gen
tanterv tanterv FN.suff
tanterv tanterv FN.suff
-heti és havi
heti heti MN.none
heti heti MN.defnone
heti heti MN.defnone
-havi tananyagbeosztása ,
havi havi MN.none
havi havi MN.defnone
havi havi MN.defnone
-tananyagbeosztása , órarendek
tananyagbeosztása tananyagbeosztás FN.PSe3.nom
tananyagbeosztása tananyagbeosztás FN.PSe3.nom
tananyagbeosztása tananyagbeosztás FN.PSe3.nom
-órarendek összehangolása ,
órarendek órarend FN.PL.gen
órarendek órarend FN.PL.gen
órarendek órarend FN.PL.gen
-összehangolása , tantestületi
összehangolása összehangolás FN.PSe3.nom
összehangolása összehangolás FN.PSe3.nom
összehangolása összehangolás FN.PSe3.nom
-tantestületi értekezletek jegyzőkönyveinek
tantestületi tantestületi MN.none
tantestületi tantestületi MN.defnone
tantestületi tantestületi MN.defnone
-értekezletek jegyzőkönyveinek vezetése
értekezletek értekezlet FN.PL.gen
értekezletek értekezlet FN.PL.gen
értekezletek értekezlet FN.PL.gen
-vezetése , a
vezetése vezetés FN.PSe3.nom
vezetése vezetés FN.PSe3.nom
vezetése vezetés FN.PSe3.nom
-szülői értekezletek jegyzőkönyvei
szülői szülői MN.none
szülői szülői MN.defnone
szülői szülői MN.defnone
-értekezletek jegyzőkönyvei ,
értekezletek értekezlet FN.PL.gen
értekezletek értekezlet FN.PL.gen
értekezletek értekezlet FN.PL.gen
-jegyzőkönyvei , határidőnapló
jegyzőkönyvei jegyzőkönyv FN.PSe3i.nom
jegyzőkönyvei jegyzőkönyv FN.PSe3i.nom
jegyzőkönyvei jegyzőkönyv FN.PSe3i.nom
-határidőnapló , postakönyv
határidőnapló határidőnapló FN.gen
határidőnapló határidőnapló FN.suff
határidőnapló határidőnapló FN.suff
-postakönyv , leltárak
postakönyv postakönyv FN.gen
postakönyv postakönyv FN.suff
postakönyv postakönyv FN.suff
-leltárak ügyvitele .
leltárak leltár FN.PL.gen
leltárak leltár FN.PL.gen
leltárak leltár FN.PL.gen
-ügyvitele . #
ügyvitele ügyvitel FN.PSe3.nom
ügyvitele ügyvitel FN.PSe3.nom
ügyvitele ügyvitel FN.PSe3.nom

 
42: Az átkelőhelyen jelzőlámpa irányítja a forgalmat . # #
-jelzőlámpa irányítja a
jelzőlámpa jelzőlámpa FN.nom
jelzőlámpa jelzőlámpa FN.nom
jelzőlámpa jelzőlámpa FN.nom

 
43: Nyaranta a világot járja , a közép-európai csaták színhelyét : Nándorfehérvár , Mohács , Fehérhegy , Segesvár és így tovább . # #
-közép-európai csaták színhelyét
közép-európai közép-európai MN.none
közép-európai közép-európai MN.defnone
közép-európai közép-európai MN.defnone
-csaták színhelyét :
csaták csata FN.PL.gen
csaták csata FN.PL.gen
csaták csata FN.PL.gen
-Nándorfehérvár , Mohács
Nándorfehérvár Nándorfehérvár TULN.gen
Nándorfehérvár Nándorfehérvár TULN.suff
Nándorfehérvár Nándorfehérvár TULN.suff
-Mohács , Fehérhegy
Mohács Mohács TULN.gen
Mohács Mohács TULN.suff
Mohács Mohács TULN.suff
-Fehérhegy , Segesvár
Fehérhegy Fehérhegy TULN.gen
Fehérhegy Fehérhegy TULN.suff
Fehérhegy Fehérhegy TULN.suff
-Segesvár és így
Segesvár Segesvár TULN.gen
Segesvár Segesvár TULN.suff
Segesvár Segesvár TULN.suff

 
44: sosem gondoltuk végig az egyenrangúság logikája szerint . # #
-egyenrangúság logikája szerint
egyenrangúság egyenrangúság FN.gen
egyenrangúság egyenrangúság FN.gen
egyenrangúság egyenrangúság FN.gen
-logikája szerint .
logikája logika FN.PSe3.none
logikája logika FN.PSe3.none
logikája logika FN.PSe3.none

 
45: A téma első körbenyargalása mindkettőnket megnyugtatott : politikai gondok nem tornyosulnak elénk , mint előző filmjeinknél . # #
-téma első körbenyargalása
téma téma FN.gen
téma téma FN.gen
téma téma FN.gen
-első körbenyargalása mindkettőnket
első első MN.none
első első MN.defnone
első első MN.defnone
-körbenyargalása mindkettőnket megnyugtatott
körbenyargalása körbenyargalás FN.PSe3.nom
körbenyargalása körbenyargalás FN.PSe3.nom
körbenyargalása körbenyargalás FN.PSe3.nom
-megnyugtatott : politikai
megnyugtatott megnyugtat IK.IGE._MIB.postag_error
megnyugtatott megnyugtat IK.IGE._MIB.defnone
megnyugtatott megnyugtat IK.IGE._MIB.defnone
-politikai gondok nem
politikai politikai MN.none
politikai politikai MN.none
politikai politikai MN.none
-gondok nem tornyosulnak
gondok gond FN.PL.nom
gondok gond FN.PL.nom
gondok gond FN.PL.nom
-előző filmjeinknél .
előző előző MN.none
előző előző MN.none
előző előző MN.none

 
46: Abban a halszegény időben nála hetenként főztek halászlét . # #
-halszegény időben nála
halszegény halszegény MN.none
halszegény halszegény MN.none
halszegény halszegény MN.none

 
47: Legtöbb esetben a menyasszonyi táncra , a menyasszony cipőjének ellopására és kiváltására is sor került . # #
-Legtöbb esetben a
Legtöbb sok FF.SZN._FOK.none
Legtöbb sok FF.SZN._FOK.none
Legtöbb sok FF.SZN._FOK.none
-menyasszonyi táncra ,
menyasszonyi menyasszonyi MN.none
menyasszonyi menyasszonyi MN.defnone
menyasszonyi menyasszonyi MN.defnone
-menyasszony cipőjének ellopására
menyasszony menyasszony FN.gen
menyasszony menyasszony FN.gen
menyasszony menyasszony FN.gen
-sor került .
sor sor FN.nom
sor sor FN.nom
sor sor FN.nom

 
48: írta a mezőgazdász . # #
-mezőgazdász . #
mezőgazdász mezőgazdász FN.nom
mezőgazdász mezőgazdász FN.nom
mezőgazdász mezőgazdász FN.nom

 
49: Csak úgy mellesleg , ilyesféle műsortípusokat látva jut eszembe , # #
-ilyesféle műsortípusokat látva
ilyesféle ilyesféle MN_NM.none
ilyesféle ilyesféle MN_NM.none
ilyesféle ilyesféle MN_NM.none

 
50: Két árkot láttunk . # #
-Két árkot láttunk
Két két SZN.none
Két két SZN.none
Két két SZN.none

 
51: Nyári reggeleken együtt kél a nappal . # #
-Nyári reggeleken együtt
Nyári nyári MN.none
Nyári nyári MN.none
Nyári nyári MN.defnone

 
52: A kántorrész jó évben kitesz tíz hektó bort . # #
-kántorrész jó évben
kántorrész kántorrész FN.nom
kántorrész kántorrész FN.suff
kántorrész kántorrész FN.suff
-jó évben kitesz
jó jó MN.none
jó jó MN.none
jó jó MN.none
-tíz hektó bort
tíz tíz SZN.none
tíz tíz SZN.none
tíz tíz SZN.none
-hektó bort .
hektó hektó FN.postag_error
hektó hektó FN.postag_error
hektó hektó FN.nom

 
53: Azt nézd , ott az ablak mellett , ez már a 81-esen , úgy hat óra tájt , fájront felé , az Einsteinova környékén , a sofőr mögött , abban a fehér harisnyában ! # #
-ablak mellett ,
ablak ablak FN.none
ablak ablak FN.none
ablak ablak FN.none
-ez már a
ez ez FN_NM.nom
ez ez FN_NM.nom
ez ez FN_NM.nom
-hat óra tájt
hat hat SZN.none
hat hat SZN.none
hat hat SZN.none
-óra tájt ,
óra óra FN.none
óra óra FN.none
óra óra FN.none
-fájront felé ,
fájront fájront FN.none
fájront fájront FN.none
fájront fájront FN.none
-sofőr mögött ,
sofőr sofőr FN.none
sofőr sofőr FN.none
sofőr sofőr FN.none
-fehér harisnyában !
fehér fehér MN.none
fehér fehér MN.none
fehér fehér MN.none

 
54: amikor a járda épült . # #
-járda épült .
járda járda FN.nom
járda járda FN.nom
járda járda FN.nom

 
55: Tehát Frédi szabad pályát kapott . # #
-Frédi szabad pályát
Frédi Frédi TULN.nom
Frédi Frédi TULN.suff
Frédi Frédi TULN.suff
-szabad pályát kapott
szabad szabad MN.none
szabad szabad MN.defnone
szabad szabad MN.none

 
56: Hogy egyszerre mindenkihez szóljon : nyelvre , bőrszínre stb.-re való tekintet nélkül . # #
-való tekintet nélkül
való való MN.none
való való MN.none
való való MN.defnone
-tekintet nélkül .
tekintet tekintet FN.none
tekintet tekintet FN.none
tekintet tekintet FN.none

 
57: Nagy_Elek sem tudott jönni . # #
-Nagy_Elek sem tudott
Nagy_Elek Nagy_Elek TULN.nom
Nagy_Elek Nagy_Elek TULN.nom
Nagy_Elek Nagy_Elek TULN.nom

 
58: Ott senki sem talál meg . # #
-senki sem talál
senki senki FN_NM.nom
senki senki FN_NM.nom
senki senki FN_NM.nom


59: Egy kisebb képen az öregem szíve tájékán kis kör alakú képről Lujza mosolyogva tekintett le reánk . # #
-Egy kisebb képen
Egy egy SZN.none
Egy egy SZN.none
Egy egy SZN.none
-kisebb képen az
kisebb kicsi MN._FOK.none
kisebb kicsi MN._FOK.none
kisebb kicsi MN._FOK.none
-öregem szíve tájékán
öregem öregem FN.gen
öregem öregem FN.gen
öregem öregem FN.gen
-szíve tájékán kis
szíve szív FN.PSe3.gen
szíve szív FN.PSe3.gen
szíve szív FN.PSe3.gen
-kis kör alakú
kis kis MN.none
kis kis MN.none
kis kis MN.defnone
-kör alakú képről
kör kör FN.none
kör kör FN.none
kör kör FN.suff
-alakú képről Lujza
alakú alakú MN.none
alakú alakú MN.defnone
alakú alakú MN.defnone
-Lujza mosolyogva tekintett
Lujza Lujza TULN.nom
Lujza Lujza TULN.nom
Lujza Lujza TULN.nom


